koda_letalisce,ime
YFH,Fort Hope Airport
YMN,Makkovik Airport
YGB,Texada Gillies Bay Airport
YGO,Gods Lake Narrows Airport
YGT,Igloolik Airport
YGW,Kuujjuarapik Airport
YGX,Gillam Airport
YGZ,Grise Fiord Airport
YQC,Quaqtaq Airport
CXH,Vancouver Harbour Water Aerodrome
YNS,Nemiscau Airport
YHO,Hopedale Airport
YHR,Chevery Airport
YIK,Ivujivik Airport
YIV,Island Lake Airport
AKV,Akulivik Airport
YKQ,Waskaganish Airport
YPJ,Aupaluk Airport
YLC,Kimmirut Airport
YLH,Lansdowne House Airport
XGR,Kangiqsualujjuaq (Georges River) Airport
YMH,Mary's Harbour Airport
YMT,Chapais Airport
YUD,Umiujaq Airport
YNC,Wemindji Airport
YNE,Norway House Airport
YNL,Points North Landing Airport
YOH,Oxford House Airport
YPH,Inukjuak Airport
YPM,Pikangikum Airport
YPO,Peawanuck Airport
YPW,Powell River Airport
YQD,The Pas Airport
YQN,Nakina Airport
YRA,Rae Lakes Airport
YRL,Red Lake Airport
YSF,Stony Rapids Airport
YSK,Sanikiluaq Airport
YST,St. Theresa Point Airport
YTL,Big Trout Lake Airport
YVZ,Deer Lake Airport
YWP,Webequie Airport
YXN,Whale Cove Airport
YZG,Salluit Airport
ZAC,York Landing Airport
ILF,Ilford Airport
ZBF,Bathurst Airport
ZEM,Eastmain River Airport
ZFD,Fond-Du-Lac Airport
ZGI,Gods River Airport
ZJN,Swan River Airport
ZKE,Kashechewan Airport
MSA,Muskrat Dam Airport
ZMT,Masset Airport
ZPB,Sachigo Lake Airport
ZRJ,Round Lake (Weagamow Lake) Airport
ZSJ,Sandy Lake Airport
ZTM,Shamattawa Airport
ZUM,Churchill Falls Airport
ZWL,Wollaston Lake Airport
BLJ,Batna Airport
CBH,Béchar Boudghene Ben Ali Lotfi Airport
BMW,Bordj Badji Mokhtar Airport
ELU,Guemar Airport
KMS,Kumasi Airport
HDF,Heringsdorf Airport
HEI,Heide-Büsum Airport
HGL,Helgoland-Düne Airport
SJY,Seinäjoki Airport
NQT,Nottingham Airport
DSA,Robin Hood Doncaster Sheffield Airport
CAL,Campbeltown Airport
EOI,Eday Airport
FIE,Fair Isle Airport
NRL,North Ronaldsay Airport
PPW,Papa Westray Airport
SOY,Stronsay Airport
NDY,Sanday Airport
LWK,Lerwick / Tingwall Airport
WRY,Westray Airport
LEQ,Land's End Airport
PZE,Penzance Heliport
VLY,Anglesey Airport
BRR,Barra Airport
CFN,Donegal Airport
CNL,Sindal Airport
LKN,Leknes Airport
OSY,Namsos Høknesøra Airport
MQN,"Mo i Rana Airport, Røssvoll"
RVK,"Rørvik Airport, Ryum"
RET,Røst Airport
SDN,Sandane Airport (Anda)
SOG,Sogndal Airport
SVJ,Svolvær Helle Airport
SOJ,Sørkjosen Airport
VAW,"Vardø Airport, Svartnes"
VRY,Værøy Heliport
BZG,Bydgoszcz Ignacy Jan Paderewski Airport
LCJ,Łódź Władysław Reymont Airport
OSD,Åre Östersund Airport
HFS,Hagfors Airport
KSD,Karlstad Airport
TYF,Torsby Airport
AGH,Ängelholm-Helsingborg Airport
SQO,Storuman Airport
HMV,Hemavan Airport
VNT,Ventspils International Airport
QRA,Rand Airport
MQP,Kruger Mpumalanga International Airport
AAM,Malamala Airport
MBD,Mmabatho International Airport
GNZ,Ghanzi Airport
ORP,Orapa Airport
SWX,Shakawe Airport
TLD,Limpopo Valley Airport
DIS,Ngot Nzoungou Airport
CIP,Chipata Airport
YVA,Iconi Airport
WAQ,Antsalova Airport
JVA,Ankavandra Airport
BMD,Belo sur Tsiribihina Airport
MXT,Maintirano Airport
TVA,Morafenobe Airport
WTA,Tambohorano Airport
WTS,Tsiroanomandidy Airport
WAM,Ambatondrazaka Airport
WPB,Port Bergé Airport
DWB,Soalala Airport
WMP,Mampikony Airport
WMA,Mandritsara Airport
MJA,Manja Airport
CBT,Catumbela Airport
DUE,Dundo Airport
VPE,Ngjiva Pereira Airport
MSZ,Namibe Airport
KOU,Koulamoutou Mabimbi Airport
MJL,Mouilla Ville Airport
TCH,Tchibanga Airport
VPY,Chimoio Airport
SRH,Sarh Airport
CMK,Club Makokola Airport
LUD,Luderitz Airport
OND,Ondangwa Airport
OMD,Oranjemund Airport
SWP,Swakopmund Airport
ERS,Eros Airport
BOA,Boma Airport
MAT,Tshimpi Airport
INO,Inongo Airport
NIO,Nioki Airport
KRZ,Basango Mboliasa Airport
BSU,Basankusu Airport
TSH,Tshikapa Airport
LJA,Lodja Airport
PFR,Ilebo Airport
OUK,Outer Skerries Airport
GMZ,La Gomera Airport
BTE,Sherbro International Airport
KBS,Bo Airport
KEN,Kenema Airport
OXB,Osvaldo Vieira International Airport
SMW,Smara Airport
VIL,Dakhla Airport
ESU,Mogador Airport
EUN,Hassan I Airport
NDR,Nador International Airport
RAI,Praia International Airport
SFL,São Filipe Airport
BCO,Baco Airport
BEI,Beica Airport
DSE,Combolcha Airport
DEM,Dembidollo Airport
GDE,Gode Airport
GOR,Gore Airport
ABK,Kabri Dehar Airport
MTF,Mizan Teferi Airport
TIE,Tippi Airport
ALU,Alula Airport
BSA,Bosaso Airport
MGQ,Aden Adde International Airport
GLK,Galcaio Airport
BUO,Burao Airport
AAC,El Arish International Airport
ATZ,Assiut International Airport
ASV,Amboseli Airport
LKG,Lokichoggio Airport
MYD,Malindi Airport
NYK,Nanyuki Airport
SRX,Gardabya Airport
TOB,Gamal Abdel Nasser Airport
MJI,Mitiga Airport
LAQ,La Abraq Airport
ATB,Atbara Airport
UYL,Nyala Airport
PZU,Port Sudan New International Airport
BKZ,Bukoba Airport
TKQ,Kigoma Airport
LDI,Lindi Airport
MUZ,Musoma Airport
SHY,Shinyanga Airport
TBO,Tabora Airport
RUA,Arua Airport
ULU,Gulu Airport
DIU,Diu Airport
ABR,Aberdeen Regional Airport
ABY,Southwest Georgia Regional Airport
AHN,Athens Ben Epps Airport
ALM,Alamogordo White Sands Regional Airport
ALO,Waterloo Regional Airport
ALW,Walla Walla Regional Airport
APN,Alpena County Regional Airport
ATY,Watertown Regional Airport
BFD,Bradford Regional Airport
BFF,Western Neb. Rgnl/William B. Heilig Airport
BKW,Raleigh County Memorial Airport
BQK,Brunswick Golden Isles Airport
BRL,Southeast Iowa Regional Airport
CEC,Jack Mc Namara Field Airport
CGI,Cape Girardeau Regional Airport
CIU,Chippewa County International Airport
CKB,North Central West Virginia Airport
CLM,William R Fairchild International Airport
CMX,Houghton County Memorial Airport
DDC,Dodge City Regional Airport
DUJ,DuBois Regional Airport
EAU,Chippewa Valley Regional Airport
EKO,Elko Regional Airport
EWB,New Bedford Regional Airport
FAY,Fayetteville Regional Grannis Field
GGW,Wokal Field Glasgow International Airport
GRI,Central Nebraska Regional Airport
HOT,Memorial Field
HTS,Tri-State/Milton J. Ferguson Field
KIO,Kili Airport
IRK,Kirksville Regional Airport
JMS,Jamestown Regional Airport
LAR,Laramie Regional Airport
LBE,Arnold Palmer Regional Airport
LBF,North Platte Regional Airport Lee Bird Field
LEB,Lebanon Municipal Airport
LMT,Crater Lake-Klamath Regional Airport
LNS,Lancaster Airport
LWT,Lewistown Municipal Airport
LYH,Lynchburg Regional Preston Glenn Field
MKG,Muskegon County Airport
MLS,Frank Wiley Field
MSL,Northwest Alabama Regional Airport
OTH,Southwest Oregon Regional Airport
OWB,Owensboro Daviess County Airport
PIB,Hattiesburg Laurel Regional Airport
PIH,Pocatello Regional Airport
PIR,Pierre Regional Airport
PLN,Pellston Regional Airport of Emmet County Airport
PSM,Portsmouth International at Pease Airport
RDG,Reading Regional Carl A Spaatz Field
RHI,Rhinelander Oneida County Airport
RKS,Southwest Wyoming Regional Airport
RUT,Rutland - Southern Vermont Regional Airport
SBP,San Luis County Regional Airport
SHR,Sheridan County Airport
SLK,Adirondack Regional Airport
SLN,Salina Municipal Airport
SMX,Santa Maria Pub/Capt G Allan Hancock Field
TUP,Tupelo Regional Airport
UIN,Quincy Regional Baldwin Field
VCT,Victoria Regional Airport
VLD,Valdosta Regional Airport
WRL,Worland Municipal Airport
YKM,Yakima Air Terminal McAllister Field
ECN,Ercan International Airport
RJL,Logroño-Agoncillo Airport
IDY,Île d'Yeu Airport
ANE,Angers-Loire Airport
LTT,La Môle Airport
JSY,Syros Airport
PEV,Pécs-Pogány Airport
SOB,Sármellék International Airport
AOT,Aosta Airport
QSR,Salerno Costa d'Amalfi Airport
CVU,Corvo Airport
BNX,Banja Luka International Airport
USQ,Uşak Airport
KSY,Kars Airport
SFQ,Şanlıurfa Airport
KCM,Kahramanmaraş Airport
AJI,Ağrı Airport
ADF,Adıyaman Airport
ISE,Süleyman Demirel International Airport
EDO,Balıkesir Körfez Airport
SZF,Samsun Çarşamba Airport
ILZ,Žilina Airport
GDT,JAGS McCartney International Airport
MDS,Middle Caicos Airport
SLX,Salt Cay Airport
AZS,Samaná El Catey International Airport
JBQ,La Isabela International Airport
PBR,Puerto Barrios Airport
AAZ,Quezaltenango Airport
UTK,Utirik Airport
AHS,Ahuas Airport
PEU,Puerto Lempira Airport
MIJ,Mili Island Airport
CYW,Captain Rogelio Castillo National Airport
CUA,Ciudad Constitución Airport
GUB,Guerrero Negro Airport
JAL,El Lencero Airport
CTD,Alonso Valderrama Airport
ONX,Enrique Adolfo Jimenez Airport
JQE,Jaqué Airport
PLP,Captain Ramon Xatruch Airport
TTQ,Aerotortuguero Airport
BCL,Barra del Colorado Airport
PBP,Islita Airport
PJM,Puerto Jimenez Airport
SYQ,Tobias Bolanos International Airport
JEE,Jérémie Airport
PAX,Port-de-Paix Airport
TND,Alberto Delgado Airport
COX,Congo Town Airport
ATC,Arthur's Town Airport
TBI,New Bight Airport
CRI,Colonel Hill Airport
PID,Nassau Paradise Island Airport
AIU,Enua Airport
MGS,Mangaia Island Airport
MHX,Manihiki Island Airport
MUK,Mauke Airport
MOI,Mitiaro Island Airport
PYE,Tongareva Airport
ICI,Cicia Airport
PTF,Malolo Lailai Island Airport
KDV,Vunisea Airport
MNF,Mana Island Airport
MFJ,Moala Airport
NGI,Ngau Airport
LKB,Lakeba Island Airport
LBS,Labasa Airport
TVU,Matei Airport
KXF,Koro Island Airport
RTA,Rotuma Airport
SVU,Savusavu Airport
EUA,Kaufana Airport
HPA,Lifuka Island Airport
NFO,Mata'aho Airport
NTT,Kuini Lavenia Airport
VBV,Vanua Balavu Airport
IUE,Niue International Airport
FUT,Pointe Vele Airport
MXS,Maota Airport
APK,Apataki Airport
AHE,Ahe Airport
AUQ,Hiva Oa-Atuona Airport
UAP,Ua Pou Airport
UAH,Ua Huka Airport
MTV,Mota Lava Airport
SLH,Sola Airport
TOH,Torres Airstrip
EAE,Siwo Airport
CCV,Craig Cove Airport
LOD,Longana Airport
SSR,Sara Airport
PBJ,Tavie Airport
LPM,Lamap Airport
LNB,Lamen Bay Airport
MWF,Maewo-Naone Airport
LNE,Lonorore Airport
NUS,Norsup Airport
ZGU,Gaua Island Airport
RCL,Redcliffe Airport
SON,Santo Pekoa International Airport
TGH,Tongoa Airport
ULB,Uléi Airport
VLS,Valesdir Airport
SWJ,Southwest Bay Airport
OLJ,North West Santo Airport
AUY,Aneityum Airport
AWD,Aniwa Airport
DLY,Dillon's Bay Airport
FTA,Futuna Airport
IPA,Ipota Airport
TGJ,Tiga Airport
BMY,Île Art - Waala Airport
ILP,Île des Pins Airport
FBD,Fayzabad Airport
AJF,Al-Jawf Domestic Airport
WAE,Wadi Al Dawasir Airport
KHD,Khoram Abad Airport
BXR,Bam Airport
RJN,Rafsanjan Airport
BJB,Bojnord Airport
AFZ,Sabzevar National Airport
NSH,Noshahr Airport
SRY,Dasht-e Naz Airport
LRR,Lar Airport
ADU,Ardabil Airport
OMH,Urmia Airport
AAN,Al Ain International Airport
BNP,Bannu Airport
BHV,Bahawalpur Airport
CJL,Chitral Airport
DBA,Dalbandin Airport
DEA,Dera Ghazi Khan Airport
DSK,Dera Ismael Khan Airport
JIW,Jiwani Airport
HDD,Hyderabad Airport
KDD,Khuzdar Airport
ORW,Ormara Airport
PAJ,Parachinar Airport
KDU,Skardu Airport
SYW,Sehwan Sharif Airport
TUK,Turbat International Airport
ISU,Sulaymaniyah International Airport
KAC,Kamishly Airport
GXF,Sayun International Airport
ADK,Adak Airport
GST,Gustavus Airport
SGY,Skagway Airport
HCR,Holy Cross Airport
HNS,Haines Airport
KLG,Kalskag Airport
MCG,McGrath Airport
MOU,Mountain Village Airport
ANI,Aniak Airport
VAK,Chevak Airport
WRG,Wrangell Airport
OPU,Balimo Airport
VMU,Baimuru Airport
LUP,Kalaupapa Airport
ENT,Eniwetok Airport
LZN,Matsu Nangan Airport
HCN,Hengchun Airport
MFK,Matsu Beigan Airport
KUH,Kushiro Airport
OKD,Okadama Airport
HSG,Saga Airport
NKM,Nagoya Airport
IWJ,Iwami Airport
FKS,Fukushima Airport
ONJ,Odate Noshiro Airport
SYO,Shonai Airport
MYE,Miyakejima Airport
KUV,Kunsan Air Base
MPK,Mokpo Heliport
WJU,Wonju/Hoengseong Air Base (K-38/K-46)
YNY,Yangyang International Airport
HIN,Sacheon Air Base/Airport
CJJ,Cheongju International Airport/Cheongju Air Base (K-59/G-513)
SFS,Subic Bay International Airport
CYU,Cuyo Airport
CGM,Camiguin Airport
JOL,Jolo Airport
TWT,Sanga Sanga Airport
SUG,Surigao Airport
TDG,Tandag Airport
WNP,Naga Airport
BSO,Basco Airport
SFE,San Fernando Airport
TUG,Tuguegarao Airport
VRC,Virac Airport
CYP,Calbayog Airport
CRM,Catarman National Airport
MBT,Moises R. Espinosa Airport
RXS,Roxas Airport
TTG,General Enrique Mosconi Airport
LHS,Las Heras Airport
OES,Antoine de Saint Exupéry Airport
ING,Lago Argentino Airport
GGS,Gobernador Gregores Airport
SST,Santa Teresita Airport
NEC,Necochea Airport
JDO,Orlando Bezerra de Menezes Airport
LEC,Coronel Horácio de Mattos Airport
MEA,Macaé Airport
MII,Frank Miloye Milenkowichi–Marília State Airport
VDC,Vitória da Conquista Airport
RIA,Santa Maria Airport
TOW,Toledo Airport
ESR,Ricardo García Posada Airport
ZPC,Pucón Airport
SOD,Sorocaba Airport
SCY,San Cristóbal Airport
LOH,Camilo Ponce Enriquez Airport
ESM,General Rivadeneira Airport
PSY,Port Stanley Airport
CRC,Santa Ana Airport
LQM,Caucaya Airport
LPD,La Pedrera Airport
NQU,Reyes Murillo Airport
PDA,Obando Airport
EYP,El Yopal Airport
GYA,Capitán de Av. Emilio Beltrán Airport
PUR,Puerto Rico Airport
RIB,Capitán Av. Selin Zeitun Lopez Airport
REY,Reyes Airport
SRJ,Capitán Av. German Quiroga G. Airport
ORG,Zorg en Hoop Airport
MVS,Mucuri Airport
CJA,Mayor General FAP Armando Revoredo Iglesias Airport
HUU,Alferez Fap David Figueroa Fernandini Airport
NZC,Maria Reiche Neuman Airport
SRA,Santa Rosa Airport
MYC,Escuela Mariscal Sucre Airport
VIG,Juan Pablo Pérez Alfonso Airport
JPR,Ji-Paraná Airport
BBQ,Codrington Airport
DSD,La Désirade Airport
BBR,Baillif Airport
SFC,St-François Airport
GBJ,Les Bases Airport
NEV,Vance W. Amory International Airport
VIJ,Virgin Gorda Airport
BQU,J F Mitchell Airport
UNI,Union Island International Airport
KOV,Kokshetau Airport
PPK,Petropavlosk South Airport
DZN,Zhezkazgan Airport
UKK,Ust-Kamennogorsk Airport
KSN,Kostanay West Airport
KVD,Ganja Airport
NAJ,Nakhchivan Airport
NER,Chulman Airport
PYJ,Polyarny Airport
CKH,Chokurdakh Airport
CYX,Cherskiy Airport
IKS,Tiksi Airport
KXK,Komsomolsk-on-Amur Airport
DYR,Ugolny Airport
OHO,Okhotsk Airport
UJE,Ujae Atoll Airport
MPW,Mariupol International Airport
VSG,Luhansk International Airport
OZH,Zaporizhzhia International Airport
KWG,Kryvyi Rih International Airport
HRK,Kharkiv International Airport
IFO,Ivano-Frankivsk International Airport
CWC,Chernivtsi International Airport
RWN,Rivne International Airport
UDJ,Uzhhorod International Airport
CSH,Solovki Airport
CEE,Cherepovets Airport
AMV,Amderma Airport
KSZ,Kotlas Airport
PES,Petrozavodsk Airport
GNA,Hrodna Airport
MVQ,Mogilev Airport
EIE,Yeniseysk Airport
KYZ,Kyzyl Airport
NOZ,Spichenkovo Airport
HTG,Khatanga Airport
IAA,Igarka Airport
NAL,Nalchik Airport
OGZ,Beslan Airport
ESL,Elista Airport
WKK,Aleknagik / New Airport
BLF,Mercer County Airport
GLH,Mid Delta Regional Airport
PSC,Tri Cities Airport
KQA,Akutan Seaplane Base
LPS,Lopez Island Airport
SLY,Salekhard Airport
HMA,Khanty Mansiysk Airport
NYA,Nyagan Airport
OVS,Sovetskiy Airport
IJK,Izhevsk Airport
KVX,Pobedilovo Airport
NYM,Nadym Airport
RAT,Raduzhny Airport
NFG,Nefteyugansk Airport
KRO,Kurgan Airport
LBD,Khudzhand Airport
AZN,Andizhan Airport
FEG,Fergana International Airport
NMA,Namangan Airport
NCU,Nukus Airport
UGC,Urgench Airport
KSQ,Karshi Khanabad Airport
TMJ,Termez Airport
RYB,Staroselye Airport
EGO,Belgorod International Airport
URS,Kursk East Airport
LPK,Lipetsk Airport
VKT,Vorkuta Airport
UUA,Bugulma Airport
JOK,Yoshkar-Ola Airport
CSY,Cheboksary Airport
ULY,Ulyanovsk East Airport
OSW,Orsk Airport
PEZ,Penza Airport
SKX,Saransk Airport
BWO,Balakovo Airport
HBX,Hubli Airport
KCT,Koggala Airport
WRZ,Weerawila Airport
BBM,Battambang Airport
SHL,Shillong Airport
GAU,Lokpriya Gopinath Bordoloi International Airport
DMU,Dimapur Airport
TEZ,Tezpur Airport
BZL,Barisal Airport
HOE,Ban Huoeisay Airport
BHR,Bharatpur Airport
BDP,Bhadrapur Airport
MEY,Meghauli Airport
KEP,Nepalgunj Airport
GAN,Gan International Airport
HAQ,Hanimaadhoo Airport
KDO,Kadhdhoo Airport
MAQ,Mae Sot Airport
BMV,Buon Ma Thuot Airport
HPH,Cat Bi International Airport
CXR,Cam Ranh Airport
VCS,Co Ong Airport
VCA,Can Tho International Airport
DIN,Dien Bien Phu Airport
UIH,Phu Cat Airport
PXU,Pleiku Airport
VII,Vinh Airport
BMO,Banmaw Airport
TVY,Dawei Airport
KAW,Kawthoung Airport
LIW,Loikaw Airport
MNU,Mawlamyine Airport
BSX,Pathein Airport
PKK,Pakhokku Airport
SWQ,Sumbawa Besar Airport
TMC,Tambolaka Airport
BUI,Bokondini Airport
SEH,Senggeh Airport
TJS,Tanjung Harapan Airport
DTD,Datadawai Airport
BEJ,Kalimarau Airport
TJG,Warukin Airport
SMQ,Sampit(Hasan) Airport
LUV,Dumatumbun Airport
ARD,Mali Airport
BLG,Belaga Airport
LGL,Long Lellang Airport
ODN,Long Seridan Airport
MKM,Mukah Airport
BKM,Bakalalan Airport
LWY,Lawas Airport
BBN,Bario Airport
TMG,Tomanggong Airport
KUD,Kudat Airport
TKG,Radin Inten II (Branti) Airport
HLP,Halim Perdanakusuma International Airport
NTX,Ranai Airport
PSU,Pangsuma Airport
SQG,Sintang(Susilo) Airport
PDO,Pendopo Airport
LSW,Malikus Saleh Airport
PKG,Pulau Pangkor Airport
LBW,Long Bawan Airport
NNX,Nunukan Airport
LPU,Long Apung Airport
ALH,Albany Airport
GYL,Argyle Airport
AUU,Aurukun Airport
BCI,Barcaldine Airport
BDD,Badu Island Airport
BVI,Birdsville Airport
BHQ,Broken Hill Airport
HTI,Hamilton Island Airport
BEU,Bedourie Airport
BRK,Bourke Airport
BUC,Burketown Airport
GIC,Boigu Airport
OKY,Oakey Airport
BQL,Boulia Airport
BHS,Bathurst Airport
BLT,Blackwater Airport
CVQ,Carnarvon Airport
CAZ,Cobar Airport
CPD,Coober Pedy Airport
CNC,Coconut Island Airport
CNJ,Cloncurry Airport
CED,Ceduna Airport
CTN,Cooktown Airport
CMA,Cunnamulla Airport
CNB,Coonamble Airport
CUQ,Coen Airport
OOM,Cooma Snowy Mountains Airport
DMD,Doomadgee Airport
NLF,Darnley Island Airport
DPO,Devonport Airport
ELC,Elcho Island Airport
EPR,Esperance Airport
FLS,Flinders Island Airport
GET,Geraldton Airport
GLT,Gladstone Airport
GTE,Groote Eylandt Airport
GFF,Griffith Airport
HID,Horn Island Airport
HOK,Hooker Creek Airport
MHU,Mount Hotham Airport
HGD,Hughenden Airport
JCK,Julia Creek Airport
KAX,Kalbarri Airport
KNS,King Island Airport
KFG,Kalkgurung Airport
KRB,Karumba Airport
KWM,Kowanyama Airport
KUG,Kubin Airport
LNO,Leonora Airport
LEL,Lake Evella Airport
LDH,Lord Howe Island Airport
IRG,Lockhart River Airport
LSY,Lismore Airport
LHG,Lightning Ridge Airport
LRE,Longreach Airport
LER,Leinster Airport
LVO,Laverton Airport
UBB,Mabuiag Island Airport
MKR,Meekatharra Airport
MIM,Merimbula Airport
MGT,Milingimbi Airport
MNG,Maningrida Airport
MCV,McArthur River Mine Airport
MQL,Mildura Airport
MMG,Mount Magnet Airport
MRZ,Moree Airport
MOV,Moranbah Airport
MYA,Moruya Airport
MGB,Mount Gambier Airport
ONG,Mornington Island Airport
MYI,Murray Island Airport
MBH,Maryborough Airport
NRA,Narrandera Airport
NAA,Narrabri Airport
NTN,Normanton Airport
ZNE,Newman Airport
OLP,Olympic Dam Airport
PUG,Port Augusta Airport
PMK,Palm Island Airport
PBO,Paraburdoo Airport
CCK,Cocos (Keeling) Islands Airport
GOV,Gove Airport
PKE,Parkes Airport
PLO,Port Lincoln Airport
EDR,Pormpuraaw Airport
PQQ,Port Macquarie Airport
PTJ,Portland Airport
ULP,Quilpie Airport
RAM,Ramingining Airport
RMA,Roma Airport
SGO,St George Airport
MJK,Shark Bay Airport
SBR,Saibai Island Airport
SRN,Strahan Airport
XTG,Thargomindah Airport
TCA,Tennant Creek Airport
VCD,Victoria River Downs Airport
SYU,Warraber Island Airport
WNR,Windorah Airport
WYA,Whyalla Airport
WUN,Wiluna Airport
WOL,Wollongong Airport
WIN,Winton Airport
BWT,Wynyard Airport
OKR,Yorke Island Airport
XMY,Yam Island Airport
NAY,Beijing Nanyuan Airport
CIF,Chifeng Airport
CIH,Changzhi Airport
DAT,Datong Airport
HET,Baita International Airport
BAV,Baotou Airport
SJW,Shijiazhuang Daguocun International Airport
TGO,Tongliao Airport
HLH,Ulanhot Airport
XIL,Xilinhot Airport
BHY,Beihai Airport
CGD,Changde Airport
DYG,Dayong Airport
MXZ,Meixian Airport
ZUH,Zhuhai Jinwan Airport
LZH,Liuzhou Bailian Airport
ZHA,Zhanjiang Airport
ENH,Enshi Airport
NNY,Nanyang Jiangying Airport
XFN,Xiangyang Liuji Airport
YIH,Yichang Sanxia Airport
AKA,Ankang Wulipu Airport
GOQ,Golmud Airport
HZG,Hanzhong Chenggu Airport
IQN,Qingyang Airport
XNN,Xining Caojiabu Airport
ENY,Yan'an Ershilipu Airport
UYN,Yulin Yuyang Airport
AVK,Arvaikheer Airport
LTI,Altai Airport
BYN,Bayankhongor Airport
DLZ,Dalanzadgad Airport
HVD,Khovd Airport
MXV,Mörön Airport
DIG,Diqing Airport
LUM,Mangshi Airport
SYM,Pu'er Simao Airport
ZAT,Zhaotong Airport
KOW,Ganzhou Airport
JDZ,Jingdezhen Airport
JIU,Jiujiang Lushan Airport
JUZ,Quzhou Airport
LYG,Lianyungang Airport
HYN,Huangyan Luqiao Airport
LYI,Shubuling Airport
JJN,Quanzhou Jinjiang International Airport
TXN,Tunxi International Airport
WEF,Weifang Airport
WEH,Weihai Airport
WUX,Sunan Shuofang International Airport
WUS,Nanping Wuyishan Airport
WNZ,Wenzhou Longwan International Airport
YNZ,Yancheng Airport
YIW,Yiwu Airport
HSN,Zhoushan Airport
BPX,Qamdo Bangda Airport
DAX,Dachuan Airport
GYS,Guangyuan Airport
LZO,Luzhou Airport
MIG,Mianyang Airport
NAO,Nanchong Airport
LZY,Nyingchi Airport
WXN,Wanxian Airport
AKU,Aksu Airport
IQM,Qiemo Yudu Airport
KCA,Kuqa Airport
KRL,Korla Airport
KRY,Karamay Airport
YIN,Yining Airport
HEK,Heihe Airport
JMU,Jiamusi Airport
JNZ,Jinzhou Airport
NDG,Qiqihar Sanjiazi Airport
YNJ,Yanji Chaoyangchuan Airport
WKL,Waikoloa Heliport
WME,Mount Keith Airport
LRV,Los Roques Airport
IOR,Inishmore Aerodrome
NNR,Connemara Regional Airport
GTI,Rügen Airport
EZV,Berezovo Airport
ORH,Worcester Regional Airport
AQG,Anqing Tianzhushan Airport
SHP,Shanhaiguan Airport
YCU,Yuncheng Guangong Airport
JGN,Jiayuguan Airport
DDG,Dandong Airport
DSN,Ordos Ejin Horo Airport
PZI,Bao'anying Airport
PWT,Bremerton National Airport
SPW,Spencer Municipal Airport
JEF,Jefferson City Memorial Airport
UNT,Unst Airport
PVC,Provincetown Municipal Airport
SBH,Gustaf III Airport
KMW,Kostroma Sokerkino Airport
SUI,Sukhumi Dranda Airport
TBW,Donskoye Airport
OBN,Oban Airport
ERM,Erechim Airport
CVF,Courchevel Airport
FUL,Fullerton Municipal Airport
USA,Concord-Padgett Regional Airport
NVI,Navoi Airport
QSF,Ain Arnat Airport
LRH,La Rochelle-Île de Ré Airport
SUN,Friedman Memorial Airport
MCW,Mason City Municipal Airport
AZA,Phoenix-Mesa-Gateway Airport
XAU,Saúl Airport
AKP,Anaktuvuk Pass Airport
ANV,Anvik Airport
ATK,Atqasuk Edward Burnell Sr Memorial Airport
GAM,Gambell Airport
HPB,Hooper Bay Airport
KAL,Kaltag Airport
KSM,St Mary's Airport
KVL,Kivalina Airport
MYU,Mekoryuk Airport
RBY,Ruby Airport
SHH,Shishmaref Airport
SVA,Savoonga Airport
WTK,Noatak Airport
OMC,Ormoc Airport
YPX,Puvirnituq Airport
YTQ,Tasiujaq Airport
ARC,Arctic Village Airport
QOW,Sam Mbakwe International Airport
FON,Arenal Airport
TMU,Tambor Airport
CYZ,Cauayan Airport
KVK,Kirovsk-Apatity Airport
GVR,Coronel Altino Machado de Oliveira Airport
KPC,Port Clarence Coast Guard Station
PJA,Pajala Airport
QBC,Bella Coola Airport
HGR,Hagerstown Regional Richard A Henson Field
ACR,Araracuara Airport
GOP,Gorakhpur Airport
SDP,Sand Point Airport
HMI,Hami Airport
WUZ,Wuzhou Changzhoudao Airport
TBH,Tugdan Airport
ACP,Sahand Airport
GBT,Gorgan Airport
IIL,Ilam Airport
PFQ,Parsabade Moghan Airport
TCG,Tacheng Airport
MQM,Mardin Airport
AFS,Sugraly Airport
DRG,Deering Airport
LEN,Leon Airport
RGS,Burgos Airport
EGM,Sege Airport
CQD,Shahrekord Airport
DHM,Kangra Airport
NDC,Nanded Airport
SLV,Shimla Airport
IGG,Igiugig Airport
KNW,New Stuyahok Airport
KVC,King Cove Airport
PTH,Port Heiden Airport
TOG,Togiak Airport
EGN,Geneina Airport
LKH,Long Akah Airport
WLH,Walaha Airport
CHG,Chaoyang Airport
UAS,Buffalo Spring
BHG,Brus Laguna Airport
YVB,Bonaventure Airport
SKT,Sialkot Airport
PDP,Capitan Corbeta CA Curbelo International Airport
WVB,Walvis Bay Airport
MPA,Katima Mulilo Airport
AOE,Anadolu Airport
CKZ,Çanakkale Airport
MSR,Muş Airport
NOP,Sinop Airport
TEQ,Tekirdağ Çorlu Airport
YEI,Bursa Yenişehir Airport
LSS,Terre-de-Haut Airport
KMV,Kalay Airport
VQS,Vieques Airport
YIF,St Augustin Airport
HDM,Hamadan Airport
MRQ,Marinduque Airport
GFN,Grafton Airport
OAG,Orange Airport
TRO,Taree Airport
COQ,Choibalsan Airport
HOH,Hohenems-Dornbirn Airport
ESC,Delta County Airport
YAK,Yakutat Airport
GUL,Goulburn Airport
